CLIENTNUM,Attrition_Flag,Customer_Age,Dependent_count,Months_Inactive_12_mon,Credit_Limit,Total_Trans_Amt
710428308,0,55,4,1,2001.0,1910
717730533,0,32,0,1,1614.0,2659
710706558,0,51,4,1,2680.0,1154
807173358,0,56,0,2,3617.0,5416
713550483,0,45,4,5,8670.0,13767
778486008,0,52,3,4,4223.0,3669
768563658,0,56,2,2,4458.0,1424
715839708,0,51,1,3,34516.0,7111
708545058,0,45,2,4,1438.3,5136
720986958,0,50,2,2,8307.0,2293
763681908,0,34,3,2,5795.0,5674
789172683,0,56,2,2,2283.0,1741
778348233,0,53,3,2,2753.0,1038
828215508,1,55,2,4,1438.3,1785
717987258,0,43,3,2,2594.0,4503
709288383,0,32,2,1,29961.0,2337
716053083,1,33,2,2,27992.0,837
711048783,0,41,4,3,33405.0,1345
716400633,0,33,3,3,5156.0,2057
719884983,0,52,2,4,1538.0,4808
799711833,0,50,3,1,24735.0,7910
814987983,0,37,2,1,3680.0,4835
771682533,0,43,3,3,5702.0,3928
712159083,1,58,4,3,2536.0,901
780086658,1,43,4,2,18229.0,2060
719729433,0,65,1,2,7023.0,2535
794545983,0,57,2,2,12208.0,1409
719381733,0,61,2,2,2175.0,3994
716317458,1,51,2,3,4281.0,1723
767294658,1,56,2,2,16867.0,654
716644008,1,55,3,3,34516.0,9931
720193533,0,41,3,1,5071.0,3358
789601308,0,58,3,5,12398.0,4228
816328308,0,60,0,1,3773.0,14264
711320508,0,57,4,2,3038.0,1762
720557883,0,35,3,2,6104.0,15240
767114958,0,65,0,2,3226.0,3250
711419133,0,56,4,2,3057.0,4449
715019883,0,52,3,3,4565.0,4139
780095808,0,43,3,2,2588.0,1053
712971708,0,43,5,0,3139.0,4648
709952658,0,46,3,3,3025.0,4460
787231233,0,34,5,3,34516.0,2421
708992733,0,50,0,3,1513.0,4759
716901858,0,49,4,1,1438.3,3691
708492558,0,42,3,3,15088.0,1107
717696333,1,44,4,3,34516.0,5425
771234558,0,65,0,3,7478.0,2213
717699408,0,51,3,3,2886.0,4884
778885158,0,57,3,3,2472.0,1392
718777008,0,59,0,1,3278.0,1374
715812258,0,45,2,5,12518.0,1165
772095858,0,38,2,2,13429.0,3929
778349883,0,56,0,3,3219.0,4188
788965683,0,49,4,3,1438.3,2170
804601833,0,44,2,2,34516.0,7491
721525758,0,45,5,2,2226.0,4928
781306758,1,58,2,2,3091.0,1844
712441308,1,41,4,2,29295.0,9865
779307558,0,53,1,3,3585.0,4806
720801033,0,51,1,2,9095.0,1347
710783358,0,46,3,3,2570.0,4442
789382758,1,54,3,3,5501.0,2050
713180433,0,56,2,3,3934.0,4837
719973033,0,49,1,5,3208.0,4531
720650208,0,40,3,3,12588.0,1561
805313808,1,52,3,2,8018.0,2409
713818158,0,50,1,4,5068.0,5173
711887583,1,47,2,3,5449.0,836
765755283,0,48,2,1,7884.0,4588
755959683,0,50,5,1,3410.0,1296
716009883,0,41,1,3,8482.0,4245
709207458,0,44,3,2,10747.0,1340
826723308,0,58,3,1,3452.0,1008
709126833,0,42,3,2,21670.0,4121
826471458,1,42,3,3,6967.0,1919
772334133,0,53,1,1,4637.0,4583
714250908,1,53,2,4,2927.0,2231
804045933,0,36,0,3,5302.0,4284
795784008,1,44,3,2,3889.0,1718
717011958,0,43,4,1,1438.3,4494
778401033,0,32,0,3,14308.0,1659
769574883,0,41,2,1,12804.0,1101
714959358,1,50,3,3,34516.0,8045
789749433,0,33,1,3,2591.0,4730
710984133,0,50,3,3,27876.0,4654
720235608,0,60,0,3,3828.0,4470
710997183,0,46,0,3,34516.0,1409
789586833,0,45,3,2,2883.0,4053
717568308,0,39,1,2,6018.0,4355
738062658,0,57,3,3,17096.0,4231
779333883,1,51,3,3,7428.0,8078
712319958,0,41,4,2,12154.0,3853
720289533,0,47,4,2,1882.0,4536
717073308,0,44,3,6,2679.0,4804
819628158,0,42,3,3,17887.0,14544
792152283,0,54,3,3,8426.0,14378
828288333,0,50,0,1,3640.0,3756
711002058,0,42,4,3,5306.0,7437
714080433,0,40,5,3,3144.0,4758
714687858,0,49,1,1,1438.3,4538
810974958,1,51,2,3,4123.0,2447
712613808,0,45,5,3,5999.0,4283
717517758,0,57,0,2,2278.0,2307
717225258,0,35,2,2,13655.0,2383
716806383,0,48,4,1,28307.0,9042
719739108,0,62,0,2,11352.0,4021
712709508,0,48,2,3,8012.0,2645
720135333,0,45,5,1,8694.0,1753
720093333,0,41,3,1,3491.0,4855
720007383,1,41,2,1,4411.0,803
716313858,0,53,3,4,3319.0,4560
713983308,0,60,0,1,3182.0,1233
714365883,0,51,4,3,7093.0,3877
709338633,1,56,1,4,2339.0,1542
779562633,0,45,2,2,5771.0,1387
719996958,0,29,0,3,7997.0,2208
720392433,0,55,1,6,2857.0,1869
714700158,0,53,2,2,6658.0,1309
713974533,0,52,3,1,2555.0,3127
791754258,0,49,5,3,2557.0,4342
709022883,0,44,4,3,1438.3,4257
710317758,0,38,3,2,11327.0,2033
721254858,0,42,5,1,1694.0,3857
778444908,0,57,2,2,34516.0,16392
713630733,0,34,2,3,5712.0,2617
801064833,0,42,3,1,30117.0,7930
716797758,0,53,2,2,3519.0,1670
711461658,0,47,1,3,3291.0,3228
721333233,0,40,4,2,23138.0,1612
721349883,0,51,4,2,2847.0,3672
711032058,0,34,3,4,34516.0,2901
708707808,0,57,2,1,2480.0,3438
711993258,0,50,0,3,8264.0,4240
708584208,1,36,2,2,3111.0,2367
797491683,1,45,5,2,34516.0,2234
709965858,0,46,1,3,9880.0,4609
712714008,0,39,4,3,2725.0,4714
715077483,0,47,3,3,1438.3,2250
778372158,0,49,5,3,2506.0,4747
717759783,0,47,4,3,5756.0,5298
819202533,0,57,1,2,10378.0,1306
711029358,0,41,4,3,2470.0,5011
758340108,0,39,2,3,10024.0,3906
794665608,0,48,3,2,5724.0,4510
710058033,0,51,0,1,23898.0,3781
717239133,0,52,1,3,10317.0,3939
713643858,0,53,1,4,1525.0,1911
718205283,0,48,3,3,1438.3,5035
715832058,0,40,5,2,4512.0,14414
719737833,0,46,4,2,6370.0,1783
827683383,0,48,3,2,4107.0,16027
710032608,0,52,1,1,5927.0,1558
714389883,0,45,4,3,8063.0,4275
767574108,0,49,1,3,1438.3,4094
718509858,0,46,3,1,4786.0,4347
719810583,0,64,0,3,2140.0,1280
787489083,0,55,4,2,21351.0,1887
712730583,0,29,0,2,8592.0,1842
716108283,0,53,4,3,4430.0,4833
715466133,0,50,1,3,2492.0,4374
768167358,0,37,4,3,1702.0,4301
714483033,0,45,5,2,14728.0,4660
708972783,1,48,4,2,1745.0,2297
720046458,0,50,0,4,2670.0,4491
719606133,0,42,2,2,5169.0,4656
771484908,0,31,0,3,34516.0,14969
803148033,0,54,1,1,12169.0,1599
711052308,0,45,3,3,2751.0,4453
779367858,0,39,4,3,6224.0,3014
708473133,0,55,1,2,1677.0,4588
717748608,1,35,4,2,1555.0,2252
821339433,0,45,3,4,2777.0,4442
713151258,0,55,3,1,3065.0,3524
720286908,0,50,3,2,3469.0,3680
788290383,0,43,3,6,4970.0,4436
771099183,0,37,2,2,8444.0,2497
712661433,0,49,4,2,34516.0,1444
708536283,1,35,1,2,2904.0,2653
771492408,0,40,2,1,2421.0,1346
709100283,1,36,2,2,5956.0,2828
755247108,0,50,2,1,3206.0,4731
709741608,0,51,2,1,4546.0,3739
718697583,0,45,3,3,19629.0,4073
804829533,1,59,0,6,24621.0,2864
715227633,0,36,3,2,1964.0,4240
793656633,0,35,3,3,2278.0,5101
708204033,0,36,5,1,2980.0,4132
708423933,0,51,2,2,6103.0,3203
721020858,0,34,1,2,3190.0,4220
708952758,0,41,3,1,2066.0,4887
712751133,1,42,3,3,11328.0,1829
709297608,1,38,3,3,1438.3,1585
721109358,0,39,3,2,2583.0,4162
712589658,0,45,4,2,13131.0,1795
779223858,0,37,2,2,6369.0,2675
717502083,1,41,3,2,6314.0,2718
709700058,0,52,2,2,6081.0,4451
720011958,0,57,2,3,6024.0,15763
771284658,1,47,1,2,1850.0,2613
769170558,0,53,3,4,16320.0,1279
778289883,1,42,2,3,1507.0,2528
718184883,0,48,3,2,1495.0,3878
717140733,0,52,1,3,6616.0,9065
714635883,0,48,2,3,3594.0,14881
715583283,0,34,0,1,7942.0,4068
719781183,0,57,4,1,15428.0,1916
714077583,1,43,3,3,23981.0,4758
788199858,0,42,3,3,2798.0,5758
779667408,0,58,1,2,2915.0,4235
711405333,0,52,3,2,6849.0,1651
808273533,1,39,2,4,1818.0,2054
720551733,1,46,4,3,15195.0,2631
709326183,0,50,2,2,5180.0,3447
718957083,0,48,1,2,1449.0,4797
817892208,0,35,2,1,1438.3,4006
717026658,1,43,3,3,1897.0,2866
769701258,0,26,0,3,12463.0,3996
714525633,0,55,2,3,1886.0,4233
721351983,1,43,4,3,3492.0,2510
801508383,0,48,2,3,25658.0,4498
716873733,1,43,4,3,3556.0,2639
715205358,0,39,1,1,2536.0,1750
714495258,0,26,0,1,1438.3,1786
779170008,0,51,2,1,5351.0,4596
783500283,0,62,0,3,29100.0,5041
709707033,1,45,3,3,13162.0,1424
718685358,0,51,2,1,1438.3,4488
714361083,1,40,2,2,5989.0,5843
719054733,0,52,0,3,1438.3,4673
779174133,0,56,3,1,5188.0,1540
710863308,0,48,4,1,2916.0,4020
721415658,0,39,1,1,2700.0,2901
713681433,0,50,2,2,9716.0,5007
720605808,1,53,1,2,1438.3,799
794649858,0,58,1,3,2210.0,1287
712369308,1,48,4,3,3646.0,1969
716239383,0,45,4,2,2225.0,4138
719362458,0,47,3,3,2822.0,5064
826168083,0,49,4,3,1757.0,4750
712125258,1,46,4,3,2442.0,701
788646858,0,41,3,3,1959.0,4275
714151533,0,55,1,4,4589.0,1569
787493808,1,48,4,2,2700.0,2396
708113208,0,53,1,2,1688.0,4375
718030083,0,59,1,1,7871.0,1428
721059033,0,48,3,1,1919.0,1505
713918358,0,31,0,3,5190.0,4900
709289358,0,46,3,1,8101.0,3226
719418933,1,53,2,3,4503.0,748
713293983,0,52,3,3,3388.0,15313
819109308,0,62,0,3,6103.0,8080
708727983,0,62,0,1,3933.0,3048
711509658,1,61,2,0,11374.0,1088
711712983,0,56,2,2,15982.0,4503
714943233,0,49,2,2,1915.0,3911
711847833,0,42,2,2,1933.0,4833
721228308,1,47,2,3,3899.0,2182
720401658,1,53,3,3,1438.3,1985
709592808,0,38,2,3,3311.0,14470
813469458,0,26,1,3,1438.3,2167
719293533,0,30,1,3,21590.0,2567
767753958,0,37,3,1,8504.0,1881
716219808,0,49,3,2,15942.0,1742
717769008,0,38,2,3,11444.0,2493
710927733,0,39,1,2,2899.0,1687
717222033,0,40,3,1,1647.0,4272
789144633,0,45,1,2,9705.0,2001
709082808,0,53,2,3,2156.0,5092
719535558,0,47,4,1,5570.0,4129
711423558,0,60,1,1,4606.0,4181
715533108,0,31,0,3,4712.0,2568
715310208,0,53,3,3,11450.0,2197
787532808,0,41,4,3,16386.0,3293
713824983,0,43,0,1,8401.0,7697
772532208,1,51,2,2,6630.0,842
814586958,0,43,2,3,3264.0,4624
709131033,0,65,0,3,2025.0,4056
718612758,0,36,2,1,34516.0,15552
811111083,0,56,2,6,2863.0,1458
713972658,0,56,2,3,5335.0,1454
718514283,0,46,4,2,1438.3,3895
710490708,0,54,3,1,17686.0,2047
778447908,0,51,2,1,3558.0,4136
758348808,0,51,2,3,34516.0,1218
789646158,0,49,4,1,3653.0,3297
716101308,0,48,3,3,2173.0,4251
712566258,0,40,2,3,8494.0,4486
720242733,0,45,4,2,1963.0,3718
714781908,0,43,3,3,5652.0,3710
719237058,0,39,2,2,1790.0,4498
820596183,0,58,2,3,24407.0,2311
787501758,0,51,3,2,4038.0,4188
715358283,0,57,2,3,2129.0,4509
816834933,0,34,4,2,30702.0,2652
781930233,0,47,2,1,2946.0,4717
710295858,0,43,4,1,24244.0,8074
794504658,0,39,1,3,5746.0,1562
817970208,0,45,1,3,2705.0,4501
709278258,1,54,2,3,2902.0,996
779438208,0,38,3,3,1938.0,4606
779548008,0,50,2,2,34516.0,7745
716237508,0,44,5,3,5254.0,4501
710794983,0,41,3,1,4745.0,4705
821836008,0,57,2,2,34516.0,1233
718569258,0,56,2,3,2029.0,4170
788840283,0,42,2,2,2120.0,4741
712085733,0,45,4,2,34516.0,3491
788916933,0,49,5,2,34516.0,8095
719378658,0,57,3,3,34516.0,4745
719872833,0,45,2,6,2803.0,3347
757247808,1,42,3,4,5230.0,9495
711110733,0,45,3,2,16928.0,3355
718211208,0,39,3,3,3281.0,4109
713325108,0,36,2,3,7712.0,1845
710568333,0,47,4,2,6623.0,2293
719379858,1,39,1,2,24239.0,8549
766795983,0,46,1,2,1438.3,4692
771429408,0,54,1,3,1618.0,1515
788868858,0,54,2,4,2702.0,1658
713021208,1,55,2,3,34516.0,1353
711325308,1,46,3,3,9959.0,4859
708438033,0,36,2,3,3049.0,2617
712509108,1,46,3,3,15164.0,8356
770293758,0,44,3,1,2111.0,4830
712302783,0,38,2,3,2468.0,4426
752604633,1,57,2,5,6462.0,761
813752433,1,43,3,2,4075.0,2449
711012783,1,43,4,3,33384.0,2066
715379133,0,51,1,4,1737.0,1954
712704933,1,49,4,3,4048.0,2227
714266883,1,54,4,3,2440.0,2334
716244033,1,44,3,3,7266.0,1741
757266933,0,52,2,1,11819.0,2431
711291558,0,27,0,3,2464.0,2636
714828708,0,46,0,1,16099.0,3656
710797833,0,50,5,3,2033.0,4360
712053033,0,46,2,3,3841.0,8444
739828308,0,55,3,2,3088.0,3906
709682658,0,37,4,3,3093.0,1371
786509358,0,44,3,1,4198.0,2051
787492908,0,50,2,3,23381.0,4357
709781208,0,34,0,3,2291.0,5409
715156383,0,44,1,2,34516.0,1603
720747633,0,32,1,2,8998.0,1931
709957158,0,48,4,1,2514.0,3942
720770883,0,65,0,3,1438.3,2249
718909158,0,38,1,3,5559.0,1793
712429458,0,50,2,3,4772.0,4054
715303608,0,46,4,2,2374.0,4253
719976558,0,47,2,2,4249.0,1881
711382458,1,43,5,3,1438.3,2389
770970558,0,41,2,2,13679.0,15180
714449283,0,44,4,3,25428.0,13360
720122808,1,52,2,4,33180.0,797
709101258,1,41,2,2,1478.0,2180
713466033,1,39,2,2,2092.0,2015
714741933,0,42,4,1,9906.0,4033
804606033,0,46,4,1,8738.0,3121
717072108,1,50,2,3,2762.0,2571
767058183,0,53,1,4,3424.0,4485
792345258,0,46,2,2,20080.0,4620
788667408,0,50,2,1,2965.0,4475
708615183,0,44,2,4,3828.0,4558
714834258,0,43,4,2,2459.0,4343
711668283,0,48,4,6,30948.0,1511
780373233,0,39,4,3,2863.0,4985
720013083,0,30,0,3,2132.0,3265
714843483,0,57,3,1,7176.0,5063
788246958,0,44,2,1,6038.0,4375
717994608,0,51,0,3,7158.0,2113
718508883,1,43,3,3,2325.0,2306
780056733,0,36,3,6,8436.0,2627
719859033,1,32,3,2,3264.0,6439
827968383,0,43,3,3,3370.0,4084
788870283,0,56,3,4,1438.3,3778
778710783,0,45,3,2,18410.0,3778
756919683,0,48,2,1,3632.0,4339
756639708,0,46,2,1,32587.0,15958
719713683,0,52,0,2,7608.0,4921
716860233,0,51,3,3,8148.0,4124
720953658,0,59,0,3,5688.0,1824
817288458,0,33,2,2,5141.0,5859
719161683,0,64,0,1,2508.0,1607
711173883,0,36,4,2,1651.0,2516
710219658,0,48,3,3,2021.0,4633
720349983,0,32,1,2,1438.3,4593
709747308,0,41,5,4,4575.0,4726
802856508,0,42,2,3,26690.0,4363
717581658,0,49,2,1,2461.0,1729
708953883,1,53,2,2,3212.0,757
712567083,0,51,1,2,9186.0,4986
720909408,0,37,2,2,3497.0,2337
789125733,0,38,4,2,4002.0,2114
752573508,0,45,3,2,4034.0,3718
809127858,0,51,1,1,2275.0,4807
814091058,1,38,1,2,3119.0,2492
720057183,0,49,4,1,7789.0,3412
708195633,0,40,2,2,34516.0,2440
780881358,0,35,3,3,16659.0,2551
712228458,0,50,2,3,25645.0,4302
720315933,0,53,1,2,1982.0,5136
716260833,1,56,5,3,4668.0,8331
771935283,0,47,4,2,2977.0,5217
720784833,1,48,3,3,1630.0,1884
713740533,0,41,3,3,2775.0,2478
714443058,1,43,4,2,1484.0,1664
711147483,1,46,3,2,8551.0,1097
714030183,0,59,0,3,34516.0,3259
717924933,0,48,2,4,3745.0,4956
715893633,0,47,4,3,2193.0,4755
708190158,1,38,3,3,2920.0,2750
718596858,0,53,4,3,3369.0,5220
807369708,0,52,3,2,6355.0,4009
708511983,0,37,3,3,1663.0,3950
789599283,0,44,3,3,2002.0,3406
788979258,0,51,4,1,34516.0,1293
716211258,0,59,1,5,4072.0,1966
717442758,0,51,4,3,8346.0,4141
708205083,0,38,1,4,1438.3,4815
781391058,0,55,1,3,1443.0,1991
713804058,0,45,4,2,4187.0,4647
709350783,0,63,0,1,4847.0,4712
716899233,0,40,4,4,15987.0,4542
717096858,0,51,2,3,6492.0,4828
714707133,0,47,3,1,1438.3,4443
719594433,0,35,2,1,3269.0,4672
773306658,0,54,1,5,4752.0,15678
720891633,1,53,2,1,3199.0,4805
708197358,1,57,2,1,30543.0,7784
714981483,0,50,3,2,2808.0,5137
716804283,0,41,2,2,15911.0,1270
719519058,1,55,4,2,1477.0,2419
772539558,0,65,0,3,2022.0,4623
771833433,1,49,2,2,29893.0,2063
718109808,0,38,5,3,5597.0,4599
718594608,0,43,2,3,20156.0,1362
806824908,0,45,2,4,16476.0,4717
715919283,1,39,4,2,1776.0,2201
718784358,0,34,4,3,34516.0,1969
713996283,0,32,2,5,2352.0,5209
755220783,0,51,1,2,8031.0,3576
708499608,0,49,5,1,15525.0,4042
719260608,0,38,3,3,34516.0,3961
717518733,1,56,2,3,9463.0,7106
719445633,0,60,0,2,1601.0,4919
708515358,0,40,1,3,4712.0,4216
712394283,0,44,4,3,1791.0,5109
719412258,0,39,3,3,5202.0,1558
714882258,0,38,2,1,1438.3,4583
712531008,1,43,3,3,24868.0,2510
716298633,0,56,1,2,2086.0,5774
753443583,0,43,1,2,8156.0,3992
770268933,0,44,5,2,33521.0,4115
716614683,0,49,3,3,34516.0,3847
720872433,1,39,1,3,3911.0,2867
713390433,1,44,3,3,34516.0,6782
720114633,0,44,5,3,2709.0,5056
820582308,0,42,5,2,22913.0,1394
719787633,0,47,0,2,34516.0,7535
720712533,0,51,3,1,34516.0,7499
720074583,0,42,1,1,4765.0,7380
714616308,0,44,4,4,7182.0,4294
712999008,0,40,3,1,2628.0,4316
711648708,0,44,3,3,25666.0,4088
709914858,0,48,2,1,6362.0,5169
789817833,1,44,5,3,9073.0,6793
714998508,0,53,3,2,3742.0,5326
788360283,0,33,1,1,1438.3,2557
717947508,0,47,3,1,1626.0,5262
721074183,0,49,1,6,24159.0,1111
712887633,0,39,1,3,25008.0,1753
710122458,0,38,2,3,31546.0,15311
720892833,0,50,3,3,12610.0,4199
719591283,0,38,2,2,1438.3,2412
717684858,0,50,3,3,22304.0,5002
709984083,0,43,3,2,3849.0,7930
715071483,0,60,1,2,2802.0,4392
719728383,0,38,4,1,6861.0,2228
765459858,1,47,3,4,6397.0,2511
817038333,0,55,0,3,1513.0,4042
720196158,0,48,3,3,4476.0,3350
720725058,1,51,1,3,7176.0,1375
789853533,1,54,3,1,3032.0,1037
721189008,0,41,4,2,12270.0,4578
709423158,0,46,4,3,1791.0,3592
821336133,0,50,2,3,8708.0,3927
717843783,0,33,1,3,13431.0,2338
768364233,0,59,1,2,5446.0,1505
717296808,0,67,1,3,3006.0,1661
708242283,0,29,1,3,5346.0,3253
718728108,0,43,4,3,29856.0,14887
713935533,0,44,3,1,19360.0,3966
758168133,0,50,0,3,4154.0,4325
715007583,0,61,0,2,1801.0,3193
719143308,0,37,2,4,2394.0,2805
721531683,0,44,4,1,8482.0,4076
712403358,0,55,2,4,1438.3,4307
713533983,0,56,1,3,2585.0,1590
711743883,0,43,3,2,4026.0,1237
779523258,0,34,2,2,3323.0,4610
719838558,0,46,2,1,5131.0,7432
712372158,0,45,4,1,34516.0,1859
827635083,0,59,0,3,1438.3,4222
816086508,0,47,2,3,1438.3,4624
719990358,0,36,3,1,1967.0,4620
779577108,0,49,1,3,1438.3,4052
712005108,0,61,0,3,3156.0,1376
778236858,0,54,2,1,11794.0,5547
813200058,0,63,0,2,6500.0,1497
709380333,0,57,1,2,24545.0,1671
713987808,0,43,3,2,5702.0,14970
718068933,0,36,3,2,5750.0,2155
713625483,0,58,2,2,11811.0,1469
717248583,0,43,3,2,11362.0,7849
720040158,0,47,3,3,17656.0,4633
719924433,0,40,4,2,16191.0,13452
712196508,1,46,3,3,29543.0,1015
714979383,0,56,3,2,1891.0,5255
718343058,0,52,2,2,5240.0,14161
711919608,1,42,3,3,2031.0,2702
717405408,0,31,0,2,3934.0,4143
712189233,0,38,1,1,5153.0,3095
713049933,0,65,1,2,5756.0,2144
792565908,0,36,2,2,2684.0,2346
717446208,0,62,0,2,3749.0,5083
721241583,0,48,3,3,2109.0,2935
811463283,0,54,0,1,22437.0,3283
789282333,0,62,0,3,10826.0,1355
787226508,0,47,2,3,20811.0,7192
772449858,0,51,3,3,7570.0,3849
753795633,1,48,2,3,2964.0,2327
711080358,0,55,1,1,19849.0,3657
720364158,0,55,3,3,7869.0,4314
710280558,0,51,1,3,8796.0,1195
713965683,0,35,3,1,4380.0,17258
709762008,0,48,4,1,2090.0,4619
