Attrition_Flag,Marital_Status,Education_Level,Customer_Age,Dependent_count,Months_Inactive_12_mon,Credit_Limit,Total_Revolving_Bal,Total_Amt_Chng_Q4_Q1
1,Single,College,56,2,2,16867.0,0,0.885
1,Single,Graduate,55,3,3,34516.0,0,1.007
0,Married,Unknown,41,3,1,5071.0,1043,0.667
0,Married,Unknown,58,3,5,12398.0,0,0.785
0,Married,Graduate,60,0,1,3773.0,0,0.684
0,Married,Graduate,57,4,2,3038.0,1410,0.644
0,Single,Uneducated,35,3,2,6104.0,1595,0.619
0,Single,Uneducated,65,0,2,3226.0,2073,1.035
0,Single,Graduate,56,4,2,3057.0,1077,0.934
0,Married,College,52,3,3,4565.0,1258,0.764
0,Divorced,Unknown,43,3,2,2588.0,1669,0.7879999999999999
0,Single,Unknown,43,5,0,3139.0,1089,1.034
0,Unknown,Graduate,46,3,3,3025.0,2491,0.45
0,Single,Post-Graduate,34,5,3,34516.0,1731,0.605
0,Married,High School,50,0,3,1513.0,0,0.8540000000000001
0,Married,Doctorate,49,4,1,1438.3,0,0.562
0,Married,Unknown,42,3,3,15088.0,865,0.939
1,Married,Unknown,44,4,3,34516.0,0,1.043
0,Single,Graduate,65,0,3,7478.0,0,0.847
0,Married,Graduate,51,3,3,2886.0,2517,0.841
0,Married,Uneducated,57,3,3,2472.0,2457,0.693
0,Married,High School,59,0,1,3278.0,1306,0.3989999999999999
0,Married,High School,45,2,5,12518.0,1539,0.645
0,Single,Graduate,38,2,2,13429.0,1246,1.055
0,Single,Uneducated,56,0,3,3219.0,2114,0.655
0,Married,Uneducated,49,4,3,1438.3,0,0.782
0,Unknown,High School,44,2,2,34516.0,1601,0.6859999999999999
0,Married,Doctorate,45,5,2,2226.0,1229,0.784
1,Single,Uneducated,58,2,2,3091.0,2517,0.602
1,Single,Unknown,41,4,2,29295.0,0,1.411
0,Unknown,College,53,1,3,3585.0,0,0.782
0,Married,High School,51,1,2,9095.0,2517,0.37
0,Unknown,High School,46,3,3,2570.0,1764,0.7859999999999999
1,Single,Graduate,54,3,3,5501.0,0,0.519
0,Single,Graduate,56,2,3,3934.0,2517,0.682
0,Married,Unknown,49,1,5,3208.0,0,0.923
0,Unknown,College,40,3,3,12588.0,2005,0.996
1,Married,High School,52,3,2,8018.0,134,0.7170000000000001
0,Single,Doctorate,50,1,4,5068.0,991,0.736
1,Married,Unknown,47,2,3,5449.0,1628,0.696
0,Married,Graduate,48,2,1,7884.0,745,0.7140000000000001
0,Unknown,Unknown,50,5,1,3410.0,2281,0.518
0,Single,Graduate,41,1,3,8482.0,585,0.624
0,Married,Graduate,44,3,2,10747.0,1603,0.471
0,Married,College,58,3,1,3452.0,2088,0.768
0,Unknown,College,42,3,2,21670.0,2183,0.995
1,Married,Graduate,42,3,3,6967.0,1767,0.54
0,Married,Graduate,53,1,1,4637.0,0,0.7090000000000001
1,Married,Graduate,53,2,4,2927.0,2517,0.419
0,Married,Graduate,36,0,3,5302.0,2414,0.779
1,Married,Graduate,44,3,2,3889.0,2517,0.405
0,Single,Graduate,43,4,1,1438.3,0,0.728
0,Married,High School,32,0,3,14308.0,1889,1.053
0,Married,High School,41,2,1,12804.0,2517,0.892
1,Married,High School,50,3,3,34516.0,2292,0.8759999999999999
0,Married,Graduate,33,1,3,2591.0,2340,0.608
0,Single,Uneducated,50,3,3,27876.0,557,0.768
0,Unknown,Graduate,60,0,3,3828.0,0,0.599
0,Married,Unknown,46,0,3,34516.0,1092,0.737
0,Married,Post-Graduate,45,3,2,2883.0,1732,0.638
0,Single,Unknown,39,1,2,6018.0,0,0.703
0,Single,Graduate,57,3,3,17096.0,1762,0.409
1,Married,Uneducated,51,3,3,7428.0,0,0.873
0,Married,High School,41,4,2,12154.0,2517,0.8640000000000001
0,Married,Unknown,47,4,2,1882.0,1143,0.638
0,Married,College,44,3,6,2679.0,727,0.894
0,Single,Graduate,42,3,3,17887.0,1821,0.687
0,Married,Graduate,54,3,3,8426.0,0,0.96
0,Married,Uneducated,50,0,1,3640.0,659,0.938
0,Single,Unknown,42,4,3,5306.0,2410,0.738
0,Married,College,40,5,3,3144.0,1787,0.685
0,Single,Graduate,49,1,1,1438.3,0,0.53
1,Married,High School,51,2,3,4123.0,1760,0.8690000000000001
0,Single,College,45,5,3,5999.0,658,0.638
0,Married,High School,57,0,2,2278.0,845,1.328
0,Single,Graduate,35,2,2,13655.0,1048,0.509
0,Married,Graduate,48,4,1,28307.0,1506,0.818
0,Divorced,Graduate,62,0,2,11352.0,2517,0.7509999999999999
0,Single,Unknown,48,2,3,8012.0,0,0.596
0,Single,Graduate,45,5,1,8694.0,961,0.551
0,Divorced,Post-Graduate,41,3,1,3491.0,2506,0.873
1,Single,Unknown,41,2,1,4411.0,2517,0.988
0,Married,Graduate,53,3,4,3319.0,913,0.612
0,Married,Post-Graduate,60,0,1,3182.0,1928,0.509
0,Unknown,Uneducated,51,4,3,7093.0,918,0.56
1,Single,Graduate,56,1,4,2339.0,0,0.493
0,Married,Uneducated,45,2,2,5771.0,2248,1.791
0,Single,Uneducated,29,0,3,7997.0,0,0.935
0,Married,Unknown,55,1,6,2857.0,2517,0.871
0,Married,Unknown,53,2,2,6658.0,1761,0.489
0,Single,Post-Graduate,52,3,1,2555.0,1701,1.492
0,Married,Graduate,49,5,3,2557.0,2351,0.807
0,Married,College,44,4,3,1438.3,0,0.6509999999999999
0,Married,High School,38,3,2,11327.0,1528,1.142
0,Married,Graduate,42,5,1,1694.0,1074,0.78
0,Married,Graduate,57,2,2,34516.0,1444,0.568
0,Single,Graduate,34,2,3,5712.0,1955,0.969
0,Married,Graduate,42,3,1,30117.0,2129,0.769
0,Married,Unknown,53,2,2,3519.0,0,0.5479999999999999
0,Married,High School,47,1,3,3291.0,1197,0.672
0,Divorced,Doctorate,40,4,2,23138.0,1727,0.693
0,Single,Graduate,51,4,2,2847.0,2082,0.787
0,Single,High School,34,3,4,34516.0,2517,0.7909999999999999
0,Unknown,Graduate,57,2,1,2480.0,1584,0.8740000000000001
0,Single,High School,50,0,3,8264.0,2057,0.821
1,Unknown,Graduate,36,2,2,3111.0,2517,0.6459999999999999
1,Married,Unknown,45,5,2,34516.0,1964,0.624
0,Married,High School,46,1,3,9880.0,1792,0.804
0,Married,Unknown,39,4,3,2725.0,2302,0.8759999999999999
0,Married,Doctorate,47,3,3,1438.3,772,1.4509999999999998
0,Married,High School,49,5,3,2506.0,1549,0.752
0,Single,Unknown,47,4,3,5756.0,860,0.708
0,Married,Doctorate,57,1,2,10378.0,1540,0.547
0,Single,Unknown,41,4,3,2470.0,1566,0.8109999999999999
0,Single,Graduate,39,2,3,10024.0,913,0.568
0,Single,Graduate,48,3,2,5724.0,582,0.8170000000000001
0,Divorced,Uneducated,51,0,1,23898.0,0,0.486
0,Married,College,52,1,3,10317.0,642,0.5529999999999999
0,Married,College,53,1,4,1525.0,1411,0.66
0,Single,College,48,3,3,1438.3,0,0.777
0,Unknown,Graduate,40,5,2,4512.0,1172,0.706
0,Married,Uneducated,46,4,2,6370.0,0,0.855
0,Divorced,Uneducated,48,3,2,4107.0,2517,0.779
0,Single,Graduate,52,1,1,5927.0,2320,0.544
0,Single,Graduate,45,4,3,8063.0,1485,0.872
0,Married,College,49,1,3,1438.3,786,0.609
0,Married,Graduate,46,3,1,4786.0,0,0.789
0,Married,High School,64,0,3,2140.0,1361,0.46
0,Married,Post-Graduate,55,4,2,21351.0,2517,0.818
0,Married,Uneducated,29,0,2,8592.0,1201,0.778
0,Married,Graduate,53,4,3,4430.0,1579,0.836
0,Married,Doctorate,50,1,3,2492.0,1410,0.835
0,Single,Doctorate,37,4,3,1702.0,1018,0.645
0,Married,Unknown,45,5,2,14728.0,0,0.708
1,Married,College,48,4,2,1745.0,0,0.657
0,Single,High School,50,0,4,2670.0,1944,0.628
0,Single,Graduate,42,2,2,5169.0,2296,0.773
0,Divorced,Graduate,31,0,3,34516.0,1984,0.757
0,Married,College,54,1,1,12169.0,1935,0.435
0,Divorced,Post-Graduate,45,3,3,2751.0,2432,0.905
0,Married,High School,39,4,3,6224.0,1898,1.103
0,Married,Graduate,55,1,2,1677.0,0,0.8240000000000001
1,Married,High School,35,4,2,1555.0,872,0.772
0,Married,Graduate,45,3,4,2777.0,2118,1.036
0,Single,Graduate,55,3,1,3065.0,0,0.716
0,Married,Uneducated,50,3,2,3469.0,0,0.956
0,Single,Doctorate,43,3,6,4970.0,1588,0.669
0,Single,Graduate,37,2,2,8444.0,1945,0.703
0,Single,Uneducated,49,4,2,34516.0,0,1.621
1,Single,Doctorate,35,1,2,2904.0,2517,0.624
0,Married,Graduate,40,2,1,2421.0,1747,0.691
1,Single,High School,36,2,2,5956.0,2517,0.877
0,Single,Doctorate,50,2,1,3206.0,0,0.631
0,Single,Unknown,51,2,1,4546.0,0,0.6509999999999999
0,Divorced,Graduate,45,3,3,19629.0,0,0.7659999999999999
1,Single,High School,59,0,6,24621.0,471,0.85
0,Single,College,36,3,2,1964.0,0,0.7759999999999999
0,Married,Uneducated,35,3,3,2278.0,1303,0.645
0,Single,Unknown,36,5,1,2980.0,2093,0.522
0,Single,Doctorate,51,2,2,6103.0,0,0.532
0,Single,College,34,1,2,3190.0,1959,0.622
0,Married,College,41,3,1,2066.0,1542,0.71
1,Single,Doctorate,42,3,3,11328.0,1369,0.585
1,Single,College,38,3,3,1438.3,0,0.3989999999999999
0,Married,High School,39,3,2,2583.0,0,0.7809999999999999
0,Unknown,Uneducated,45,4,2,13131.0,1965,0.695
0,Married,Graduate,37,2,2,6369.0,0,1.454
1,Single,Doctorate,41,3,2,6314.0,0,0.903
0,Single,Graduate,52,2,2,6081.0,989,1.222
0,Single,High School,57,2,3,6024.0,1532,0.867
1,Married,Unknown,47,1,2,1850.0,896,0.7240000000000001
0,Single,Graduate,53,3,4,16320.0,0,0.757
1,Unknown,Graduate,42,2,3,1507.0,0,0.8059999999999999
0,Married,High School,48,3,2,1495.0,0,0.802
0,Single,Graduate,52,1,3,6616.0,831,0.7070000000000001
0,Single,Unknown,48,2,3,3594.0,1996,0.795
0,Married,Graduate,34,0,1,7942.0,2087,0.754
0,Married,High School,57,4,1,15428.0,1553,0.747
1,Married,Post-Graduate,43,3,3,23981.0,593,0.987
0,Unknown,High School,42,3,3,2798.0,1049,0.89
0,Single,Post-Graduate,58,1,2,2915.0,1494,0.861
0,Married,Post-Graduate,52,3,2,6849.0,2126,0.611
1,Single,High School,39,2,4,1818.0,0,0.6509999999999999
1,Married,Doctorate,46,4,3,15195.0,0,0.726
0,Single,High School,50,2,2,5180.0,1211,0.809
0,Single,Graduate,48,1,2,1449.0,0,0.785
0,Single,Doctorate,35,2,1,1438.3,0,1.126
1,Married,Uneducated,43,3,3,1897.0,0,0.645
0,Unknown,Unknown,26,0,3,12463.0,1319,0.655
0,Single,Unknown,55,2,3,1886.0,1023,0.708
1,Married,Uneducated,43,4,3,3492.0,2517,0.6
0,Married,Graduate,48,2,3,25658.0,1721,0.5920000000000001
1,Divorced,Post-Graduate,43,4,3,3556.0,2517,0.6509999999999999
0,Married,Graduate,39,1,1,2536.0,913,1.0590000000000002
0,Single,College,26,0,1,1438.3,479,0.5529999999999999
0,Single,High School,51,2,1,5351.0,0,0.763
0,Unknown,Graduate,62,0,3,29100.0,1228,0.722
1,Single,Graduate,45,3,3,13162.0,0,0.512
0,Single,Uneducated,51,2,1,1438.3,0,0.8270000000000001
1,Single,College,40,2,2,5989.0,0,0.311
0,Single,Post-Graduate,52,0,3,1438.3,797,0.87
0,Married,Uneducated,56,3,1,5188.0,753,0.591
0,Married,Post-Graduate,48,4,1,2916.0,1074,0.774
0,Married,Graduate,39,1,1,2700.0,2220,1.595
0,Divorced,High School,50,2,2,9716.0,874,0.775
1,Single,Graduate,53,1,2,1438.3,0,0.672
0,Married,Uneducated,58,1,3,2210.0,1624,0.627
1,Divorced,Doctorate,48,4,3,3646.0,1047,0.633
0,Married,High School,45,4,2,2225.0,0,0.611
0,Married,High School,47,3,3,2822.0,0,0.6809999999999999
0,Divorced,Unknown,49,4,3,1757.0,1307,0.769
1,Married,High School,46,4,3,2442.0,0,0.98
0,Married,Graduate,41,3,3,1959.0,1268,0.731
0,Married,Graduate,55,1,4,4589.0,1622,0.425
1,Unknown,Graduate,48,4,2,2700.0,2480,0.6859999999999999
0,Married,High School,53,1,2,1688.0,0,0.6409999999999999
0,Married,College,59,1,1,7871.0,1687,1.242
0,Divorced,High School,48,3,1,1919.0,774,0.965
0,Divorced,Uneducated,31,0,3,5190.0,1682,0.888
0,Single,Graduate,46,3,1,8101.0,1266,0.615
1,Married,Uneducated,53,2,3,4503.0,0,0.659
0,Divorced,Post-Graduate,52,3,3,3388.0,2517,0.919
0,Divorced,Graduate,62,0,3,6103.0,2517,0.74
0,Single,Uneducated,62,0,1,3933.0,0,0.884
1,Married,Graduate,61,2,0,11374.0,2517,1.015
0,Single,Graduate,56,2,2,15982.0,0,0.687
0,Married,Doctorate,49,2,2,1915.0,1545,0.775
0,Single,Graduate,42,2,2,1933.0,1127,0.705
1,Married,High School,47,2,3,3899.0,0,0.718
1,Single,Graduate,53,3,3,1438.3,1030,0.609
0,Single,Graduate,38,2,3,3311.0,1556,0.652
0,Single,Graduate,26,1,3,1438.3,673,0.595
0,Single,College,30,1,3,21590.0,2517,0.813
0,Unknown,Graduate,37,3,1,8504.0,1956,0.963
0,Unknown,Graduate,49,3,2,15942.0,0,0.723
0,Married,Graduate,38,2,3,11444.0,1278,1.31
0,Married,Unknown,39,1,2,2899.0,1999,0.8320000000000001
0,Single,Unknown,40,3,1,1647.0,1198,0.76
0,Married,Graduate,45,1,2,9705.0,850,0.481
0,Married,High School,53,2,3,2156.0,1198,0.507
0,Divorced,College,47,4,1,5570.0,1858,0.7829999999999999
0,Single,Post-Graduate,60,1,1,4606.0,0,0.857
0,Single,Uneducated,31,0,3,4712.0,955,0.855
0,Married,Uneducated,53,3,3,11450.0,2129,0.956
0,Married,Post-Graduate,41,4,3,16386.0,2236,1.004
0,Married,High School,43,0,1,8401.0,1085,0.696
1,Married,Doctorate,51,2,2,6630.0,916,0.927
0,Divorced,College,43,2,3,3264.0,2042,0.752
0,Unknown,Graduate,65,0,3,2025.0,1701,0.628
0,Married,High School,36,2,1,34516.0,939,0.826
0,Married,High School,56,2,6,2863.0,2517,0.583
0,Married,Graduate,56,2,3,5335.0,996,0.469
0,Single,High School,46,4,2,1438.3,794,0.807
0,Single,High School,54,3,1,17686.0,0,0.733
0,Married,College,51,2,1,3558.0,0,0.57
0,Married,Graduate,51,2,3,34516.0,1666,0.613
0,Married,Uneducated,49,4,1,3653.0,881,0.846
0,Married,Unknown,48,3,3,2173.0,0,0.857
0,Divorced,Post-Graduate,40,2,3,8494.0,2023,0.871
0,Single,Unknown,45,4,2,1963.0,1549,0.778
0,Single,Graduate,43,3,3,5652.0,548,0.647
0,Single,Doctorate,39,2,2,1790.0,891,0.45
0,Married,College,58,2,3,24407.0,2395,1.071
0,Single,High School,51,3,2,4038.0,1237,0.61
0,Married,Uneducated,57,2,3,2129.0,1139,1.025
0,Single,Graduate,34,4,2,30702.0,673,0.721
0,Married,High School,47,2,1,2946.0,2338,0.58
0,Divorced,Graduate,43,4,1,24244.0,1649,0.7759999999999999
0,Married,Unknown,39,1,3,5746.0,1829,0.649
0,Divorced,Uneducated,45,1,3,2705.0,1334,0.8859999999999999
1,Married,Unknown,54,2,3,2902.0,2517,0.821
0,Single,Graduate,38,3,3,1938.0,1175,0.85
0,Single,Graduate,50,2,2,34516.0,0,0.742
0,Married,High School,44,5,3,5254.0,2507,0.7509999999999999
0,Single,High School,41,3,1,4745.0,1157,0.965
0,Single,Uneducated,57,2,2,34516.0,2099,0.629
0,Married,Unknown,56,2,3,2029.0,974,0.624
0,Divorced,Post-Graduate,42,2,2,2120.0,1527,0.7440000000000001
0,Married,Graduate,45,4,2,34516.0,880,0.687
0,Married,College,49,5,2,34516.0,1064,0.7959999999999999
0,Divorced,Graduate,57,3,3,34516.0,1384,0.887
0,Divorced,Graduate,45,2,6,2803.0,0,0.565
1,Married,Graduate,42,3,4,5230.0,2517,0.937
0,Married,High School,45,3,2,16928.0,1519,0.894
0,Married,High School,39,3,3,3281.0,1682,0.5770000000000001
0,Married,Post-Graduate,36,2,3,7712.0,2517,0.6759999999999999
0,Unknown,College,47,4,2,6623.0,1823,0.8109999999999999
1,Married,Graduate,39,1,2,24239.0,0,0.94
0,Single,Unknown,46,1,2,1438.3,0,0.7559999999999999
0,Married,High School,54,1,3,1618.0,668,0.552
0,Married,Graduate,54,2,4,2702.0,2517,1.019
1,Single,College,55,2,3,34516.0,0,0.3989999999999999
1,Single,Unknown,46,3,3,9959.0,0,1.0490000000000002
0,Married,Unknown,36,2,3,3049.0,2198,1.546
1,Single,Doctorate,46,3,3,15164.0,532,0.858
0,Single,High School,44,3,1,2111.0,1047,0.971
0,Single,Uneducated,38,2,3,2468.0,872,0.991
1,Married,College,57,2,5,6462.0,0,0.856
1,Single,Graduate,43,3,2,4075.0,1986,1.214
